id,ident,iata_code,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,municipality,local_code
309579,VCRI,HRI,Mattala Rajapaksa International Airport,6.283878,81.124163,AS,LK,LK-3,Mattala,VCRI
26473,VDBG,BBM,Battambang Airport,13.0956,103.223999,AS,KH,KH-2,Battambang,
26475,VDPP,PNH,Phnom Penh International Airport,11.547155,104.844699,AS,KH,KH-12,Phnom Penh (Pou Senchey),
35306,VDRK,RBE,Ratanakiri Airport,13.72999954,106.9869995,AS,KH,KH-16,Ratanakiri,
513482,VDSA,SAI,Siem Reap-Angkor International Airport,13.36974,104.223831,AS,KH,KH-17,Siem Reap,
26478,VDSV,KOS,Sihanouk International Airport,10.570557,103.632067,AS,KH,KH-18,Preah Sihanouk,
26488,VEAN,IXV,Along Airport,28.1753006,94.80200195,AS,IN,IN-AR,,
26489,VEAT,IXA,Agartala - Maharaja Bir Bikram Airport,23.886999,91.240402,AS,IN,IN-TR,Agartala,
26491,VEBD,IXB,Bagdogra Airport,26.6812,88.328598,AS,IN,IN-WB,Siliguri,
26492,VEBI,SHL,Shillong Airport,25.70359993,91.97869873,AS,IN,IN-ML,Shillong,
26545,VEBN,VNS,Lal Bahadur Shastri International Airport,25.452171,82.862549,AS,IN,IN-UP,Varanasi,
26494,VEBS,BBI,Biju Patnaik International Airport,20.251021,85.814747,AS,IN,IN-OR,Bhubaneswar,
26435,VEBU,PAB,Bilaspur Airport,21.9884,82.111,AS,IN,IN-CT,Bilaspur,
26496,VECC,CCU,Netaji Subhash Chandra Bose International Airport,22.654012,88.44765,AS,IN,IN-WB,Kolkata,
26498,VEDB,DBD,Dhanbad Airport,23.834,86.425301,AS,IN,IN-BR,,
317982,VEDG,RDP,Kazi Nazrul Islam Airport,23.6225,87.243,AS,IN,IN-WB,Durgapur,
3319,VEDH,DBR,Darbhanga Airport,26.192801,85.916901,AS,IN,IN-BR,Darbhanga,VEDH
26500,VEGK,GOP,Gorakhpur Airport,26.73970032,83.4496994,AS,IN,IN-UP,Gorakhpur,
26501,VEGT,GAU,Lokpriya Gopinath Bordoloi International Airport,26.106654,91.585226,AS,IN,IN-AS,Guwahati,
26502,VEGY,GAY,Gaya Airport,24.744301,84.951202,AS,IN,IN-BR,Gaya,
26504,VEIM,IMF,Bir Tikendrajit International Airport,24.76,93.896698,AS,IN,IN-MN,Imphal,
26506,VEJS,IXW,Sonari Airport,22.813706,86.168981,AS,IN,IN-JH,Jamshedpur,
26507,VEJT,JRH,Jorhat Airport,26.730456,94.175416,AS,IN,IN-AS,Jorhat,
350147,VEKI,KBK,Kushinagar International Airport,26.776534,83.889214,AS,IN,IN-UP,Kushinagar,
26508,VEKR,IXH,Kailashahar Airport,24.308657,92.00768,AS,IN,IN-TR,Kailashahar,
26509,VEKU,IXS,Silchar Airport,24.91290092,92.97869873,AS,IN,IN-AS,Silchar,
26510,VELP,AJL,Lengpui Airport,23.840599,92.619698,AS,IN,IN-MZ,Aizawl (Lengpui),
26511,VELR,IXI,Lilabari North Lakhimpur Airport,27.295682,94.097266,AS,IN,IN-AS,Lilabari,
26512,VEMN,DIB,Dibrugarh Airport,27.48390007,95.01689911,AS,IN,IN-AS,Dibrugarh,
26513,VEMR,DMU,Dimapur Airport,25.88389969,93.77110291,AS,IN,IN-NL,Dimapur,
26514,VEMZ,MZU,Muzaffarpur Airport,26.119101,85.313698,AS,IN,IN-BR,Muzaffarpur,
26517,VEPT,PAT,Jay Prakash Narayan Airport,25.591299,85.087997,AS,IN,IN-BR,Patna,
26519,VERC,IXR,Birsa Munda Airport,23.31430054,85.32170105,AS,IN,IN-JH,Ranchi,
26520,VERK,RRK,Rourkela Airport,22.256571,84.815193,AS,IN,IN-OR,Rourkela,
26521,VETZ,TEZ,Tezpur Airport,26.70910072,92.78469849,AS,IN,IN-AS,,
26522,VEUK,UKE,Utkela Airport,20.097778,83.183333,AS,IN,IN-OR,Bhawanipatna,
26523,VEVZ,VTZ,Visakhapatnam International Airport,17.723506,83.227729,AS,IN,IN-AP,Visakhapatnam,
26524,VEZO,ZER,Ziro Airport,27.588301,93.828102,AS,IN,IN-AR,Ziro,
26525,VGBR,BZL,Barisal Airport,22.801001,90.301201,AS,BD,BD-1,Barisal,
26526,VGCB,CXB,Cox's Bazar Airport,21.457517,91.963263,AS,BD,BD-2,Cox's Bazar,
26527,VGEG,CGP,Shah Amanat International Airport,22.249599,91.813301,AS,BD,BD-2,Chattogram (Chittagong),
26534,VGHS,DAC,Hazrat Shahjalal International Airport,23.843347,90.397783,AS,BD,BD-3,Dhaka,5500
26528,VGIS,IRD,Ishurdi Airport,24.1525,89.0494,AS,BD,BD-5,Ishurdi,
26529,VGJR,JSR,Jessore Airport,23.1838,89.160797,AS,BD,BD-4,Jashore (Jessore),
26530,VGRJ,RJH,Shah Makhdum Airport,24.437201,88.616501,AS,BD,BD-5,Rajshahi,
26531,VGSD,SPD,Saidpur Airport,25.759199,88.908897,AS,BD,BD-5,Saidpur,
26532,VGSY,ZYL,Osmany International Airport,24.963071,91.866903,AS,BD,BD-6,Sylhet,
26535,VHHH,HKG,Hong Kong International Airport,22.31184,113.914862,AS,HK,HK-NT,Hong Kong,
26537,VIAG,AGR,Agra Airport / Agra Air Force Station,27.157975,77.961025,AS,IN,IN-UP,Agra,
26538,VIAL,IXD,Prayagraj Airport,25.4401,81.733902,AS,IN,IN-UP,Allahabad,VEAB
26540,VIAR,ATQ,Sri Guru Ram Das Ji International Airport,31.7096,74.797302,AS,IN,IN-PB,Amritsar,
26543,VIBK,BKB,Nal Airport,28.070601,73.207199,AS,IN,IN-RJ,Bikaner,
26546,VIBR,KUU,Kullu Manali Airport,31.876699,77.154404,AS,IN,IN-HP,Bhuntar,
26547,VIBT,BUP,Bhatinda Air Force Station,30.2701,74.755798,AS,IN,IN-PB,,
